11 ; 2577 Ramona St ; Palo Alto ; CA ; 94301 ; 5027 ; 8071 ; 9 ; 5 ; 4,928,000 ; Anna Y Hang ; 2006 ; 08/24/01 ; 727,500 ; 35,084 ; 34,415 ; 32,413 ; 32,420 ; 31,992 ; 2,905,645 ; 2,892,514 ; 2,835,799 ; 2,780,196 ; 2,759,419
12 ; 1465 Edgewood Dr ; Palo Alto ; CA ; 94301 ; 4400 ; 17,859 ; 5 ; 4 ; 7,995,000 ; Michael Dreyfus ; 1938 ; 08/23/00 ; 4,500,000 ; 42,405 ; 41,593 ; 39,173 ; 39,182 ; 39,918 ; 3,524,979 ; 3,509,049 ; 3,440,245 ; 3,372,791 ; 3,347,584
13 ; 457 Homer Ave ; Palo Alto ; CA ; 94301 ; 1530 ; 1653 ; 3 ; 3 ; 1,498,000 ; Michael Repka ; 1981 ; 05/20/05 ; 900,000 ; 12,803 ; 12,569 ; 11,280 ; 10,212 ; 11,630 ; 1,023,374 ; 1,018,750 ; 998,776 ; 979,194 ; 971,876
14 ; 50 Crescent Dr ; Palo Alto ; CA ; 94301 ; 6458 ; 17,859 ; 6 ; 6 ; 9,950,000 ; Shena Hurley ; 1930 ; 03/06/08 ; 4,425,000 ; 64,635 ; 63,390 ; 59,698 ; 49,635 ; 51,824 ; 5,405,669 ; 5,381,239 ; 5,275,726 ; 5,172,281 ; 4,256,907
15 ; 135 Bryant St ; Palo Alto ; CA ; 94301 ; 1646 ; 1910 ; 2 ; 3 ; 1,695,000 ; Umang Sanchorawala ; 1976 ; 02/23/12 ; 1,100,000 ; 13,946 ; 10,517 ; 9,317 ; 9,317 ; 9,222 ; 1,127,092 ; 1,122,000 ; 832,887 ; 816,557 ; 810,455
16 ; 1130 University Ave ; Palo Alto ; CA ; 94301 ; 2925 ; 11762 ; 5 ; 3 ; 3,398,000 ; Derk Brill ; 1925 ; N/A ; N/A ;1756 ; 1725 ; 1628 ; 1626 ; 1609 ; 146,019 ; 145,360 ; 142,511 ; 139,718 ; 138,675
17 ; 1437 Dana Ave ; Palo Alto ; CA ; 94301 ; 2437 ; 7405 ; 4 ; 3 ; 3,998,000 ; Jennifer Buenrostro ; 1932 ; 06/05/12 ; 2,750,000 ; 34,005 ; 25,065 ; 22,956 ; 22,956 ; 13,000 ; 2,817,733 ; 2,805,000 ; 2,055,359 ; 1,958,000 ; 2,000,000
18 ; 536 Lincoln Ave ; Palo Alto ; CA ; 94301 ; 2356 ; 5227 ; 4 ; 3 ; 3,988,000 ; Lynn Wilson Roberts ; 1897 ; 06/12/15 ; 3,310,000 ; 1333 ; 1307 ; 1235 ; 1233 ; 1220 ; 110,017 ; 109,521 ; 107,374 ; 105,270 ; 104,484
19 ; 811 Hamilton Ave ; Palo Alto ; CA ; 94301 ; 5278 ; 14810 ; 7 ; 6 ; 9,672,000 ; Judy Citron ; 2015 ; 8/15/12 ; 2,806,000 ; 33,974 ; 37,805 ; 1802 ; 1802 ; 1691 ; 2,899,827 ; 2,806,000 ; 3,121,000 ; 103,289 ; 102,518
20 ; 1932 Emerson St ; Palo Alto ; CA ; 94301 ; 5310 ; 10,018 ; 6 ; 6 ; 7,988,000 ; Michael Repka ; 2008 ; 03/13/12 ; 5,475,000 ; 66,966 ; 51,118 ; 48,142 ; 48,142 ; 29,003 ; 5,609,853 ; 5,584,500 ; 4,242,368 ; 4,159,185 ; 2,496,678
1 ; 30 Pearce Mitchell Pl ; Stanford ; CA ; 94305 ; 1079 ; N/A ; 2 ; 2 ; 475,000 ; Shari Ornstein ; 1975 ; N/A ; N/A ; 2168 ; 2149 ; 2027 ; 2025 ; 1934 ; 122462 ; 121910 ; 119521 ; 117179; 116304
2 ; 787 Mitchell Ave ; Stanford ; CA ; 94305 ; 2602 ; 15681 ; 4 ; 3 ; 2495000 ; Coldwell Banker ; 1966 ; N/A ; N/A ; 9246 ; 9116 ; 8571 ; 8571 ; 8420 ;  726213 ; 722932 ; 708757 ; 694861 ; 689669
1 ; 1120 S California Ave ; Palo Alto ; CA ; 94306 ; 670 ; 2875 ; 1 ; 1 ; 1395000 ; Mark Martinho ; 1969 ; 05/16/86 ; 187,500 ; 4198 ; 4131 ; 3894 ; 3893 ; 3762 ; 299696 ; 298343 ; 292495 ; 286761 ; 284619
2 ; 700 Chimalus Dr ; Palo Alto ; CA ; 94306 ; 2676 ; 7415 ; 4 ; 4 ; 3,198,000 ; Lucy Bermam ; 1949 ; 06/01/07 ; 1173000 ; 15089 ; 14610 ; 12805 ; 13875 ; 14374 ; 1,381,211 ; 1276218 ; 1175000 ; 1068000 ; 1153000
3 ; 828 La Para Ave ; Palo Alto ; CA ; 94306 ; 180 ; 6886 ; 1 ; 1 ; 1,998,000 ; Alex Wang ; 1930 ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A
4 ; 4250 El Camino Real Apt C322 ; Palo Alto ; CA ; 94306 ; 679 ; N/A ; 1 ; 1 ; 725,000 ; Morgan Lashley ; 1983 ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A ; N/A
5 ; 631 Kendall Ave ; Palo Alto ; CA ; 94306 ; 1530 ; 5850 ; 2 ; 2 ; 1,680,000 ; Chiahsun Lin ; 1941 ; 11/07/85 ; 170,000 ; 4002 ; 3940 ; 3716 ; 3715 ; 3587 ; 276141 ; 274894 ; 269505 ; 264222 ; 262249
6 ; 2139 Wellesley St ; Palo Alto ; CA ; 94306 ; 1144 ; 3223 ; 3 ; 3 ; 1,980,000 ; Alex Wang ; 1945 ; 06/01/07 ; 753,000 ; 11371 ; 10704 ; 10704 ; 9605 ; 8468 ; 904535 ; 900448 ; 846063 ; 758271 ; 781563
7 ; 344 Grant Ave ; Palo Alto ; CA ; 94306 ; 899 ; N/A ; 2 ; 1 ; 995,000 ; Bhavna Chaudhuri ; 1983 ; 08/05/88 ; 155,000 ; 3510 ; 3459 ; 3261 ; 3261 ; 3138 ; 237258 ; 236186 ; 231556 ; 227,017 ; 225322
8 ; 560 Miramonte Ave ; Palo Alto ; CA ; 94306 ; 2836 ; 7840 ; 4 ; 3 ; 3,298,000 ; Ron Evans ; 1932 ; N/A ; N/A ; 5014 ; 4833 ; 4555 ; 4570 ; 4570 ; 360277 ; 358650 ; 351619 ; 344725 ; 342150
9 ; 387 Ely Pl ; Palo Alto ; CA ; 94306 ; 2588 ; 9239 ; 3 ; 4 ; 3088000 ; Connie Miller ; 2012 ; 07/24/12 ; 2452000 ; 29770 ; 16323 ; 12260 ; 1750 ; 1750 ; 2463132 ; 2452000 ; 1312257 ; 1007000 ; 1007000
10 ; 554 Kelly Way ; Palo Alto ; CA ; 94306 ; 853 ; 6340 ; 2 ; 1 ;1688000 ; Paymon Ghafouri ; 1950 ; 02/22/02 ; 595000 ; 11020 ; 10797 ; 10171 ; 10171 ; 9976 ; 874903 ; 870950 ; 853874 ; 837133 ; 804000
11 ; 3719 Starr King Cir ; Palo Alto ; CA ; 94306 ; 1382 ; 3 ; 1 ; 6534 ; 1695000 ; Alex Lehr ; 1952 ; 05/29/92 ; 325000 ; 6197 ; 6197 ; 6091 ; 5739 ; 5589 ; 468810 ; 466693 ; 457543 ; 448572 ; 445221
12 ; 890 Robb Rd ; Palo Alto ; CA ; 94306 ; 8328 ; 43560 ; 6; 8 ; 14288000 ; Supriya and Julie ; 2003 ; 02/15/01 ; 3250000 ; 50294 ; 49327 ; 46454 ; 46454 ; 45889 ; 4199085 ; 4180109 ; 4098147 ; 4017792 ; 3987765
13 ; 4264 Wilkie Way ; Palo Alto ; CA ; 94306 ; 3475 ; 8276 ; 5 ; 5 ; 3788000 ; Judy Bogard-tanigami ; 2008 ; 11/18/08 ; 2200000 ; 28056 ; 28056 ; 25845 ; 11722 ; 11722 ; 2311090 ; 2300646 ; 2255536 ; 2211311 ; 2211311
14 ; 4180 Manuela Ave ; Palo Alto ; CA ; 94306 ; 4484 ; 20038 ; 6 ; 5 ; 4250000 ; Kai Leung ; 1976 ; N/A ; N/A ; 41433 ; 40641 ; 38276 ; 38824 ; 38284 ; 3442748 ; 3427190 ; 3359991 ; 3294110 ; 3269492
15 ; 393 Whitclem Dr ; Palo Alto ; CA ; 94306 ; 1871 ; 5427 ; 3 ; 3 ; 1998000 ; Gwen Luce ; 1951 ; N/A ; N/A ; 7691 ; 7558 ; 7558 ; 7123 ; 6959 ; 588271 ; 585613 ; 574132 ; 562875 ; 558669
